hypothesis,premise,label
Un homme portant un veste en cuir brun comme une seule femme habillée en rouge et noir.,Un homme portant une veste en cuir brun et une femme tenue en rouge et noir.,1
L'homme est amoureux d'une balle de bowling.,Un homme portant du cuir prend une image de cristal.,2
Une femme est habillée comme Lizzie Borden pour l'Halloween.,Une jeune femme portant un costume tient une axe.,1
Un chien crouchant dans un champ avec un os dans sa bouche.,Un grand chien brun crouche dans un champ grassier.,1
Les filles s'enfoncent,La fille fait un geste en assise en train.,1
Le buffet n'est que des fruits de mer.,Une plus solide avec sa fille venant en bordure d'un buffet et regardant ses choix en matière de nourriture.,1
Un chanteur joue un peu de punk rock.,Un chanteur punk tatoué crie dans le microphone en portant un dessus-citerne.,0
Un homme transporte des boîtes dans une maison.,Un homme en jeans et un t-shirt chargeant quelque chose dans une remorque.,2
Une femme jetant des roches sur des gens.,Une femme distribue des fruits.,2
Les gens dansent en plein air à la musique de rap,Les gens exécutent une danse à l'extérieur sur un tapis vert.,1
Soins portant des casques.,Un groupe de travailleurs de la construction travaillent.,0
le jeune homme est noir.,Un jeune homme tue un basket-ball.,1
les personnes sont sur le chariot,L'homme en chariot est applaudi à ses fans.,0
Le bébé obtient son image.,Une jolie fille posant sur un mur rocheux,1
Le mariage se déroule à l'intérieur d'une église.,"Un groupe de personnes, une fête de mariage comprenant une mariée et un marié, marchent sur une voie entourée de bancs et entourée d'herbes et d'arbres.",2
Un enfant sur un filet de corde prétendant être un pirate.,Un enfant jouant sur un filet de corde.,1
Blurry photo of biker racing on a rocky trail.,Blurry picture of mountain biker descending rocky trail.,1
THey sont plaçant des jeux vidéo,Deux hommes sans chemises s'épargnent tandis qu'une ligne d'hommes en chemises blanches et en shorts noirs suit.,2
Une femme est assise à une table.,Une grande femme du Caucase tricote à une table.,0
Un homme est à l'extérieur.,Un homme pondant sur un grand complexe de béton.,0
Un taureau s'envole.,Le taureau roule avec une clôture jaune derrière lui.,0
Un chien brun consomme de l'eau à partir d'un bol alors qu'un chien noir saute près de lui à l'intérieur.,Un chien brun consomme de l'eau à partir d'un bol alors qu'un chien noir saute à côté de lui.,0
Une femme en kimono porte une oreille à l'oreille gauche.,Une femme dans un kimono blanc porte un téléphone à oreilles à l'oreille gauche.,0
Un homme qui emprunte une bicyclette portant une veste verte et un écouteau gris bloque sa bicyclette à l'extérieur d'un magasin.,Un homme en fauteuil roulant portant une veste brune et gardant une canne grise est assis devant quelques buissons et arbres.,2
Les gens sont au quai.,De nombreuses personnes portant du bleu se trouvent aujourd'hui au quai.,0
Il y a des gens qui parlent au parc.,Il y a plusieurs personnes dans un parc.,1
Une personne surfe.,Un homme dans un vêtement humide noir surfe sur une grande vague.,0
